grid_id,x_coord,y_coord,year,count_31,count_32,count_33,count_total,cluster_n,is_cluster,value_added_31,labor_total_31,wages_total_31,machinery_31,computers_31,value_added_32,labor_total_32,wages_total_32,machinery_32,computers_32,value_added_33,labor_total_33,wages_total_33,machinery_33,computers_33,dist_usa_km,dist_cdmx_km,dist_port_km
32,1073792.029,2346649.062,2015,72,23,35,130,130,1,120.4605528,654.1016949,55.27323598,30.44900652,3.654915254,116.7430117,827.4324675,73.12052468,43.56268701,2.234136364,463.9818886,2968.566978,327.6911526,68.84565421,13.9635553,5.780300715,2298.573894,1958.350049
32,1073792.029,2346649.062,2019,63,22,29,114,114,1,251.4135981,716.7841855,77.61450178,71.38267063,3.151947681,116.6408424,253.8541176,39.15223529,13.11176706,3.040710588,909.2584385,3862.977422,595.7572229,116.7681726,18.6363547,5.780300715,2298.573894,1958.350049
32,1073792.029,2346649.062,2025,91,31,36,158,158,1,681.9711247,1097.276805,186.6427921,92.29047757,7.075698031,576.518656,1480.170286,325.8192823,97.41546286,8.576265143,2414.448677,5656.86351,1338.014432,277.3047159,49.23526462,5.780300715,2298.573894,1958.350049
33,1073792.029,2351649.062,2010,2,0,1,3,3,1,2.294417431,14.05504587,0.895215596,0.633759939,0.020206422,0,0,0,0,0,16.5753985,90.03928906,9.500777362,1.52557811,0.184978485,7.680232504,2301.878116,1962.336911
33,1073792.029,2351649.062,2015,4,2,0,6,6,1,6.692252934,36.33898305,3.070735332,1.691611473,0.203050847,10.15156623,71.95064935,6.358306494,3.78805974,0.194272727,0,0,0,0,0,7.680232504,2301.878116,1962.336911
33,1073792.029,2351649.062,2019,6,2,0,8,8,1,23.9441522,68.26516052,7.391857313,6.798349584,0.300185493,10.60371294,23.07764706,3.559294118,1.191978824,0.276428235,0,0,0,0,0,7.680232504,2301.878116,1962.336911
33,1073792.029,2351649.062,2025,3,1,1,5,5,1,22.48256455,36.17396061,6.153059081,3.042543217,0.23326477,18.597376,47.74742857,10.51029943,3.142434286,0.276653714,67.0680188,157.1350975,37.16706755,7.702908774,1.36764624,7.680232504,2301.878116,1962.336911
34,1078792.029,2316649.062,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.95274863,2275.092908,1931.474066
34,1078792.029,2316649.062,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.95274863,2275.092908,1931.474066
34,1078792.029,2316649.062,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.95274863,2275.092908,1931.474066
34,1078792.029,2316649.062,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.95274863,2275.092908,1931.474066
35,1078792.029,2321649.062,2010,3,3,9,15,15,1,0.635526316,8.881578947,0.184144737,0.161684211,0.000197368,0,0,0,0,0,0,0,0,0,0,24.95478402,2278.365347,1935.438789
35,1078792.029,2321649.062,2015,1,5,14,20,20,1,0,0,0,0,0,1.196162791,15.40697674,0.092616279,0.374244186,0.01377907,1.050127273,20.74545455,0.357127273,0.210127273,0.011709091,24.95478402,2278.365347,1935.438789
35,1078792.029,2321649.062,2019,4,16,31,51,49,1,2.301632,16.896,0.717888,0.467104,0.010336,19.3060202,71.27272727,8.719353535,3.64169697,0.330828283,48.422775,265.825,29.07825833,7.214216667,0.260916667,24.95478402,2278.365347,1935.438789
35,1078792.029,2321649.062,2025,7,22,31,60,55,1,5.269590278,21.63194444,1.406611111,0.811416667,0.008993056,10.20935385,63.29230769,4.370384615,2.447415385,0.201553846,32.70783537,184.2987805,24.59528659,3.319079268,0.201878049,24.95478402,2278.365347,1935.438789
36,1078792.029,2326649.062,2010,7,8,17,32,32,1,1.482894737,20.72368421,0.429671053,0.377263158,0.000460526,0,0,0,0,0,0,0,0,0,0,19.95783907,2281.64405,1939.408297
36,1078792.029,2326649.062,2015,12,14,19,45,45,1,0,0,0,0,0,3.349255814,43.13953488,0.259325581,1.047883721,0.038581395,1.425172727,28.15454545,0.484672727,0.285172727,0.015890909,19.95783907,2281.64405,1939.408297
36,1078792.029,2326649.062,2019,16,12,16,44,43,1,9.206528,67.584,2.871552,1.868416,0.041344,14.47951515,53.45454545,6.539515152,2.731272727,0.248121212,24.9924,137.2,15.00813333,3.723466667,0.134666667,19.95783907,2281.64405,1939.408297
36,1078792.029,2326649.062,2025,17,12,27,56,52,1,12.79757639,52.53472222,3.416055556,1.970583333,0.021840278,5.568738462,34.52307692,2.383846154,1.334953846,0.109938462,28.48746951,160.5182927,21.42170122,2.890810976,0.175829268,19.95783907,2281.64405,1939.408297
37,1078792.029,2331649.062,2010,30,11,24,65,65,1,6.355263158,88.81578947,1.841447368,1.616842105,0.001973684,0,0,0,0,0,0,0,0,0,0,14.96293539,2284.928989,1943.382561
37,1078792.029,2331649.062,2015,44,43,50,137,137,1,0,0,0,0,0,10.287,132.5,0.7965,3.2185,0.1185,3.750454545,74.09090909,1.275454545,0.750454545,0.041818182,14.96293539,2284.928989,1943.382561
37,1078792.029,2331649.062,2019,42,30,43,115,115,1,24.167136,177.408,7.537824,4.904592,0.108528,36.19878788,133.6363636,16.34878788,6.828181818,0.62030303,67.167075,368.725,40.33435833,10.00681667,0.361916667,14.96293539,2284.928989,1943.382561
37,1078792.029,2331649.062,2025,55,41,64,160,160,1,41.40392361,169.9652778,11.05194444,6.375416667,0.070659722,19.02652308,117.9538462,8.144807692,4.561092308,0.375623077,67.52585366,380.4878049,50.77736585,6.852292683,0.416780488,14.96293539,2284.928989,1943.382561
38,1078792.029,2336649.062,2010,26,9,20,55,53,1,29.82742661,182.7155963,11.63780275,8.238879205,0.262683486,15.06739268,101.0216306,8.828206323,3.347520799,0.407755408,331.5079701,1800.785781,190.0155472,30.51156221,3.699569691,9.973140443,2288.220138,1947.361553
38,1078792.029,2336649.062,2015,28,17,31,76,76,1,46.84577053,254.3728814,21.49514733,11.84128031,1.421355932,86.28831299,611.5805195,54.04560519,32.19850779,1.651318182,410.9553871,2629.302181,290.2407352,60.97757944,12.3677204,9.973140443,2288.220138,1947.361553
38,1078792.029,2336649.062,2019,36,27,31,94,94,1,143.6649132,409.5909631,44.35114388,40.7900975,1.801112961,143.1501247,311.5482353,48.05047059,16.09171412,3.731781176,971.965917,4129.389658,636.8439279,124.82115,19.92162054,9.973140443,2288.220138,1947.361553
